%
% Bike sharing systems are new generation of traditional bike rentals where whole process from membership, rental and return 
% back has become automatic. Through these systems, user is able to easily rent a bike from a particular position and return 
% back at another position. Currently, there are about over 500 bike-sharing programs around the world which is composed of 
% over 500 thousands bicycles. Today, there exists great interest in these systems due to their important role in traffic, 
% environmental and health issues. 
%
% Apart from interesting real world applications of bike sharing systems, the characteristics of data being generated by
% these systems make them attractive for the research. Opposed to other transport services such as bus or subway, the duration
% of travel, departure and arrival position is explicitly recorded in these systems. This feature turns bike sharing system into
% a virtual sensor network that can be used for sensing mobility in the city. Hence, it is expected that most of important
% events in the city could be detected via monitoring these data.
%
% Bike-sharing rental process is highly correlated to the environmental and seasonal settings. For instance, weather conditions,
% precipitation, day of week, season, hour of the day, etc. can affect the rental behaviors. The core data set is related to  
% the two-year historical log corresponding to years 2011 and 2012 from Capital Bikeshare system, Washington D.C., USA which is 
% publicly available in http://capitalbikeshare.com/system-data. We aggregated the data on two hourly and daily basis and then 
% extracted and added the corresponding weather and seasonal information. Weather information are extracted from http://www.freemeteo.com. 
%
% Use of this dataset in publications must be cited to the following publication:
% Fanaee-T, Hadi, and Gama, Joao, "Event labeling combining ensemble detectors and background knowledge", 
% Progress in Artificial Intelligence (2013): pp. 1-15, Springer Berlin Heidelberg, doi:10.1007/s13748-013-0040-3.
%
% Attributes:
% - season : season (1:springer, 2:summer, 3:fall, 4:winter)
% - yr : year (0: 2011, 1:2012)
% - mnth : month ( 1 to 12)
% - hr : hour (0 to 23)
% - holiday : weather day is holiday or not (extracted from http://dchr.dc.gov/page/holiday-schedule)
% - weekday : day of the week
% - workingday : if day is neither weekend nor holiday is 1, otherwise is 0.
% - weathersit : 
%     - 1: Clear, Few clouds, Partly cloudy, Partly cloudy
%     - 2: Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist
%     - 3: Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds
%     - 4: Heavy Rain + Ice Pallets + Thunderstorm + Mist, Snow + Fog
% - temp : Normalized temperature in Celsius. The values are divided to 41 (max)
% - atemp: Normalized feeling temperature in Celsius. The values are divided to 50 (max)
% - hum: Normalized humidity. The values are divided to 100 (max)
% - windspeed: Normalized wind speed. The values are divided to 67 (max)
% - casual: count of casual users
% - registered: count of registered users
% - cnt: count of total rental bikes including both casual and registered
%
% This version was cleanup up by Joaquin Vanschoren:
% - Category labels replaced by category names (season, weathersit, year)
% - Turned back normalization for temperature and windspeed for interpretability
% - Renamed features for readability
%
@RELATION Bike_Sharing_Demand

@ATTRIBUTE season {fall, spring, summer, winter}
@ATTRIBUTE year INTEGER
@ATTRIBUTE month INTEGER
@ATTRIBUTE hour INTEGER
@ATTRIBUTE holiday INTEGER
@ATTRIBUTE weekday INTEGER
@ATTRIBUTE workingday INTEGER
@ATTRIBUTE weather {clear, heavy_rain, misty, rain}
@ATTRIBUTE temp REAL
@ATTRIBUTE feel_temp REAL
@ATTRIBUTE humidity REAL
@ATTRIBUTE windspeed REAL
@ATTRIBUTE casual INTEGER
@ATTRIBUTE registered INTEGER
@ATTRIBUTE count INTEGER

@DATA
spring,2011,1,0,0,6,0,clear,9.84,14.395,0.81,0.0,3,13,16
spring,2011,1,1,0,6,0,clear,9.02,13.635,0.8,0.0,8,32,40
spring,2011,1,2,0,6,0,clear,9.02,13.635,0.8,0.0,5,27,32
spring,2011,1,3,0,6,0,clear,9.84,14.395,0.75,0.0,3,10,13
spring,2011,1,4,0,6,0,clear,9.84,14.395,0.75,0.0,0,1,1
spring,2011,1,5,0,6,0,misty,9.84,12.879999999999999,0.75,6.0032,0,1,1
spring,2011,1,6,0,6,0,clear,9.02,13.635,0.8,0.0,2,0,2
spring,2011,1,7,0,6,0,clear,8.200000000000001,12.879999999999999,0.86,0.0,1,2,3
spring,2011,1,8,0,6,0,clear,9.84,14.395,0.75,0.0,1,7,8
spring,2011,1,9,0,6,0,clear,13.120000000000001,17.424999999999997,0.76,0.0,8,6,14
spring,2011,1,10,0,6,0,clear,15.58,19.695,0.76,16.997899999999998,12,24,36
spring,2011,1,11,0,6,0,clear,14.76,16.665,0.81,19.0012,26,30,56
spring,2011,1,12,0,6,0,clear,17.22,21.21,0.77,19.0012,29,55,84
spring,2011,1,13,0,6,0,misty,18.86,22.725,0.72,19.999499999999998,47,47,94
spring,2011,1,14,0,6,0,misty,18.86,22.725,0.72,19.0012,35,71,106
spring,2011,1,15,0,6,0,misty,18.04,21.97,0.77,19.999499999999998,40,70,110
spring,2011,1,16,0,6,0,misty,17.22,21.21,0.82,19.999499999999998,41,52,93
spring,2011,1,17,0,6,0,misty,18.04,21.97,0.82,19.0012,15,52,67
spring,2011,1,18,0,6,0,rain,17.22,21.21,0.88,16.997899999999998,9,26,35
spring,2011,1,19,0,6,0,rain,17.22,21.21,0.88,16.997899999999998,6,31,37
spring,2011,1,20,0,6,0,misty,16.400000000000002,20.455000000000002,0.87,16.997899999999998,11,25,36
spring,2011,1,21,0,6,0,misty,16.400000000000002,20.455000000000002,0.87,12.998,3,31,34
spring,2011,1,22,0,6,0,misty,16.400000000000002,20.455000000000002,0.94,15.001299999999999,11,17,28
spring,2011,1,23,0,6,0,misty,18.86,22.725,0.88,19.999499999999998,15,24,39
spring,2011,1,0,0,0,0,misty,18.86,22.725,0.88,19.999499999999998,4,13,17
spring,2011,1,1,0,0,0,misty,18.04,21.97,0.94,16.997899999999998,1,16,17
spring,2011,1,2,0,0,0,misty,17.22,21.21,1.0,19.0012,1,8,9
spring,2011,1,3,0,0,0,misty,18.86,22.725,0.94,12.998,2,4,6
spring,2011,1,4,0,0,0,misty,18.86,22.725,0.94,12.998,2,1,3
spring,2011,1,6,0,0,0,rain,17.22,21.21,0.77,19.999499999999998,0,2,2
spring,2011,1,7,0,0,0,misty,16.400000000000002,20.455000000000002,0.76,12.998,0,1,1
spring,2011,1,8,0,0,0,rain,16.400000000000002,20.455000000000002,0.71,15.001299999999999,0,8,8
spring,2011,1,9,0,0,0,misty,15.58,19.695,0.76,15.001299999999999,1,19,20
spring,2011,1,10,0,0,0,misty,14.76,17.424999999999997,0.81,15.001299999999999,7,46,53
spring,2011,1,11,0,0,0,misty,14.76,16.665,0.71,16.997899999999998,16,54,70
spring,2011,1,12,0,0,0,misty,14.76,16.665,0.66,19.999499999999998,20,73,93
spring,2011,1,13,0,0,0,misty,14.76,17.424999999999997,0.66,8.9981,11,64,75
spring,2011,1,14,0,0,0,rain,14.76,17.424999999999997,0.76,12.998,4,55,59
spring,2011,1,15,0,0,0,rain,13.940000000000001,16.665,0.81,11.0014,19,55,74
spring,2011,1,16,0,0,0,rain,13.940000000000001,16.665,0.71,11.0014,9,67,76
spring,2011,1,17,0,0,0,clear,13.940000000000001,16.665,0.57,12.998,7,58,65
spring,2011,1,18,0,0,0,misty,14.76,16.665,0.46,22.0028,10,43,53
spring,2011,1,19,0,0,0,clear,13.120000000000001,14.395,0.42,30.002599999999997,1,29,30
spring,2011,1,20,0,0,0,clear,12.299999999999999,13.635,0.39,23.9994,5,17,22
spring,2011,1,21,0,0,0,clear,10.66,11.365,0.44,22.0028,11,20,31
spring,2011,1,22,0,0,0,clear,9.84,10.605,0.44,19.999499999999998,0,9,9
spring,2011,1,23,0,0,0,clear,9.02,11.365,0.47,11.0014,0,8,8
spring,2011,1,0,0,1,1,clear,9.02,9.85,0.44,23.9994,0,5,5
spring,2011,1,1,0,1,1,clear,8.200000000000001,8.334999999999999,0.44,27.999299999999998,0,2,2
spring,2011,1,4,0,1,1,clear,6.5600000000000005,6.819999999999999,0.47,26.0027,0,1,1
spring,2011,1,5,0,1,1,clear,6.5600000000000005,6.819999999999999,0.47,19.0012,0,3,3
spring,2011,1,6,0,1,1,clear,5.74,5.305,0.5,26.0027,0,30,30
spring,2011,1,7,0,1,1,clear,5.74,6.819999999999999,0.5,12.998,1,63,64
spring,2011,1,8,0,1,1,clear,5.74,6.0600000000000005,0.5,19.0012,1,153,154
spring,2011,1,9,0,1,1,clear,6.5600000000000005,6.819999999999999,0.43,26.0027,7,81,88
spring,2011,1,10,0,1,1,clear,7.38,8.334999999999999,0.43,16.997899999999998,11,33,44
spring,2011,1,11,0,1,1,clear,8.200000000000001,9.09,0.4,22.0028,10,41,51
spring,2011,1,12,0,1,1,clear,9.02,10.605,0.35,19.999499999999998,13,48,61
spring,2011,1,13,0,1,1,clear,9.84,10.605,0.35,19.0012,8,53,61
spring,2011,1,14,0,1,1,clear,10.66,12.120000000000001,0.3,19.0012,11,66,77
spring,2011,1,15,0,1,1,clear,10.66,12.120000000000001,0.3,16.997899999999998,14,58,72
spring,2011,1,16,0,1,1,clear,10.66,12.120000000000001,0.3,16.997899999999998,9,67,76
spring,2011,1,17,0,1,1,clear,9.84,11.365,0.3,15.001299999999999,11,146,157
spring,2011,1,18,0,1,1,clear,9.84,12.879999999999999,0.32,7.0015,9,148,157
spring,2011,1,19,0,1,1,clear,8.200000000000001,12.879999999999999,0.47,0.0,8,102,110
spring,2011,1,20,0,1,1,clear,8.200000000000001,11.365,0.47,7.0015,3,49,52
spring,2011,1,21,0,1,1,clear,7.38,9.85,0.64,8.9981,3,49,52
spring,2011,1,22,0,1,1,clear,5.74,7.575,0.69,8.9981,0,20,20
spring,2011,1,23,0,1,1,clear,7.38,10.605,0.55,7.0015,1,11,12
spring,2011,1,0,0,2,1,clear,6.5600000000000005,9.09,0.55,7.0015,0,5,5
spring,2011,1,1,0,2,1,clear,6.5600000000000005,9.09,0.59,7.0015,0,2,2
spring,2011,1,2,0,2,1,clear,5.74,7.575,0.63,8.9981,0,1,1
spring,2011,1,4,0,2,1,clear,5.74,9.09,0.63,6.0032,0,2,2
spring,2011,1,5,0,2,1,clear,4.92,7.575,0.68,7.0015,0,4,4
spring,2011,1,6,0,2,1,clear,4.92,7.575,0.74,7.0015,0,36,36
spring,2011,1,7,0,2,1,clear,4.92,7.575,0.74,8.9981,2,92,94
spring,2011,1,8,0,2,1,clear,5.74,7.575,0.69,11.0014,2,177,179
spring,2011,1,9,0,2,1,clear,6.5600000000000005,7.575,0.64,15.001299999999999,2,98,100
spring,2011,1,10,0,2,1,misty,6.5600000000000005,6.819999999999999,0.69,22.0028,5,37,42
spring,2011,1,11,0,2,1,clear,9.02,10.605,0.51,19.999499999999998,7,50,57
spring,2011,1,12,0,2,1,clear,9.02,11.365,0.51,11.0014,12,66,78
spring,2011,1,13,0,2,1,clear,9.84,11.365,0.56,12.998,18,79,97
spring,2011,1,14,0,2,1,clear,10.66,12.879999999999999,0.52,15.001299999999999,9,54,63
spring,2011,1,15,0,2,1,clear,11.48,13.635,0.52,16.997899999999998,17,48,65
spring,2011,1,16,0,2,1,clear,12.299999999999999,14.395,0.49,16.997899999999998,15,68,83
spring,2011,1,17,0,2,1,clear,11.48,13.635,0.48,15.001299999999999,10,202,212
spring,2011,1,18,0,2,1,clear,10.66,12.879999999999999,0.48,12.998,3,179,182
spring,2011,1,19,0,2,1,clear,9.84,12.879999999999999,0.48,7.0015,2,110,112
spring,2011,1,20,0,2,1,clear,9.84,12.879999999999999,0.48,7.0015,1,53,54
spring,2011,1,21,0,2,1,clear,9.02,13.635,0.64,0.0,0,48,48
spring,2011,1,22,0,2,1,clear,9.02,12.879999999999999,0.64,6.0032,1,34,35
spring,2011,1,23,0,2,1,clear,8.200000000000001,11.365,0.69,6.0032,2,9,11
spring,2011,1,0,0,3,1,clear,8.200000000000001,12.879999999999999,0.64,0.0,0,6,6
spring,2011,1,1,0,3,1,clear,6.5600000000000005,9.85,0.74,6.0032,0,6,6
spring,2011,1,2,0,3,1,clear,6.5600000000000005,9.85,0.74,6.0032,0,2,2
spring,2011,1,4,0,3,1,clear,9.84,11.365,0.48,15.001299999999999,0,2,2
spring,2011,1,5,0,3,1,clear,9.02,11.365,0.47,11.0014,0,3,3
spring,2011,1,6,0,3,1,clear,8.200000000000001,9.85,0.47,15.001299999999999,0,33,33
spring,2011,1,7,0,3,1,clear,7.38,9.09,0.43,12.998,1,87,88
spring,2011,1,8,0,3,1,clear,8.200000000000001,9.09,0.4,19.999499999999998,3,192,195
spring,2011,1,9,0,3,1,clear,9.02,9.85,0.37,22.0028,6,109,115
spring,2011,1,10,0,3,1,clear,9.02,9.85,0.37,22.0028,4,53,57
spring,2011,1,11,0,3,1,clear,10.66,11.365,0.33,22.0028,12,34,46
spring,2011,1,12,0,3,1,clear,10.66,11.365,0.33,22.0028,5,74,79
spring,2011,1,13,0,3,1,clear,11.48,12.879999999999999,0.3,19.999499999999998,6,65,71
spring,2011,1,14,0,3,1,clear,12.299999999999999,14.395,0.28,12.998,10,52,62
spring,2011,1,15,0,3,1,clear,12.299999999999999,14.395,0.28,12.998,7,55,62
spring,2011,1,16,0,3,1,clear,12.299999999999999,15.909999999999998,0.28,6.0032,4,85,89
spring,2011,1,17,0,3,1,clear,9.84,11.365,0.38,12.998,4,186,190
spring,2011,1,18,0,3,1,clear,9.84,12.120000000000001,0.38,8.9981,3,166,169
spring,2011,1,19,0,3,1,clear,9.84,12.879999999999999,0.38,7.0015,5,127,132
spring,2011,1,20,0,3,1,clear,9.02,11.365,0.47,11.0014,7,82,89
spring,2011,1,21,0,3,1,clear,8.200000000000001,9.85,0.51,12.998,3,40,43
spring,2011,1,22,0,3,1,clear,7.38,9.85,0.55,8.9981,1,41,42
spring,2011,1,23,0,3,1,clear,8.200000000000001,12.879999999999999,0.47,0.0,1,18,19
spring,2011,1,0,0,4,1,clear,7.38,12.120000000000001,0.55,0.0,0,11,11
spring,2011,1,1,0,4,1,clear,6.5600000000000005,11.365,0.64,0.0,0,4,4
spring,2011,1,2,0,4,1,clear,6.5600000000000005,11.365,0.64,0.0,0,2,2
spring,2011,1,4,0,4,1,misty,6.5600000000000005,9.85,0.64,6.0032,0,1,1
spring,2011,1,5,0,4,1,misty,5.74,9.09,0.69,6.0032,0,4,4
spring,2011,1,6,0,4,1,misty,5.74,8.334999999999999,0.63,7.0015,0,36,36
spring,2011,1,7,0,4,1,misty,6.5600000000000005,11.365,0.59,0.0,0,95,95
spring,2011,1,8,0,4,1,clear,6.5600000000000005,11.365,0.59,0.0,3,216,219
spring,2011,1,9,0,4,1,misty,7.38,12.120000000000001,0.51,0.0,6,116,122
spring,2011,1,10,0,4,1,clear,8.200000000000001,12.879999999999999,0.47,0.0,3,42,45
spring,2011,1,11,0,4,1,clear,9.02,12.879999999999999,0.44,6.0032,2,57,59
spring,2011,1,12,0,4,1,clear,10.66,14.395,0.35,0.0,6,78,84
spring,2011,1,13,0,4,1,clear,10.66,13.635,0.35,7.0015,12,55,67
spring,2011,1,14,0,4,1,clear,11.48,13.635,0.36,11.0014,11,59,70
spring,2011,1,15,0,4,1,clear,11.48,13.635,0.36,0.0,8,54,62
spring,2011,1,16,0,4,1,clear,10.66,12.879999999999999,0.38,11.0014,12,74,86
spring,2011,1,17,0,4,1,clear,9.02,11.365,0.51,11.0014,9,163,172
spring,2011,1,18,0,4,1,clear,9.02,11.365,0.51,8.9981,5,158,163
spring,2011,1,19,0,4,1,clear,9.02,12.879999999999999,0.55,6.0032,3,109,112
spring,2011,1,20,0,4,1,clear,8.200000000000001,10.605,0.51,11.0014,3,66,69
spring,2011,1,21,0,4,1,misty,9.02,10.605,0.55,15.001299999999999,0,48,48
spring,2011,1,22,0,4,1,misty,9.02,10.605,0.51,19.0012,1,51,52
spring,2011,1,23,0,4,1,misty,8.200000000000001,9.85,0.59,12.998,4,19,23
spring,2011,1,0,0,5,1,misty,8.200000000000001,9.85,0.64,12.998,4,13,17
spring,2011,1,1,0,5,1,misty,8.200000000000001,9.85,0.69,15.001299999999999,2,5,7
spring,2011,1,2,0,5,1,misty,8.200000000000001,9.85,0.69,15.001299999999999,0,1,1
spring,2011,1,4,0,5,1,misty,8.200000000000001,10.605,0.69,8.9981,0,1,1
spring,2011,1,5,0,5,1,rain,9.02,13.635,0.55,0.0,0,5,5
spring,2011,1,6,0,5,1,misty,8.200000000000001,12.879999999999999,0.69,0.0,8,26,34
spring,2011,1,7,0,5,1,clear,8.200000000000001,10.605,0.69,8.9981,8,76,84
spring,2011,1,8,0,5,1,clear,8.200000000000001,9.85,0.51,16.997899999999998,20,190,210
spring,2011,1,9,0,5,1,clear,8.200000000000001,9.09,0.47,19.999499999999998,9,125,134
spring,2011,1,10,0,5,1,clear,9.02,9.85,0.37,22.0028,16,47,63
spring,2011,1,11,0,5,1,misty,8.200000000000001,9.85,0.4,15.001299999999999,19,48,67
spring,2011,1,12,0,5,1,misty,8.200000000000001,9.85,0.37,16.997899999999998,9,50,59
spring,2011,1,13,0,5,1,misty,8.200000000000001,9.09,0.37,19.0012,9,64,73
spring,2011,1,14,0,5,1,misty,8.200000000000001,9.85,0.4,16.997899999999998,7,43,50
spring,2011,1,15,0,5,1,misty,8.200000000000001,10.605,0.37,11.0014,9,63,72
spring,2011,1,16,0,5,1,misty,8.200000000000001,10.605,0.37,11.0014,5,82,87
spring,2011,1,17,0,5,1,misty,8.200000000000001,12.879999999999999,0.37,0.0,9,178,187
spring,2011,1,18,0,5,1,clear,8.200000000000001,11.365,0.4,6.0032,7,116,123
spring,2011,1,19,0,5,1,clear,6.5600000000000005,9.85,0.55,6.0032,3,92,95
spring,2011,1,20,0,5,1,clear,7.38,10.605,0.47,7.0015,1,50,51
spring,2011,1,21,0,5,1,clear,7.38,9.85,0.47,8.9981,0,39,39
spring,2011,1,22,0,5,1,misty,7.38,9.85,0.43,11.0014,2,34,36
spring,2011,1,23,0,5,1,misty,7.38,9.85,0.51,11.0014,1,14,15
spring,2011,1,0,0,6,0,misty,7.38,9.85,0.51,11.0014,1,24,25
spring,2011,1,1,0,6,0,misty,7.38,10.605,0.55,6.0032,1,15,16
spring,2011,1,2,0,6,0,misty,7.38,12.120000000000001,0.55,0.0,3,13,16
spring,2011,1,3,0,6,0,rain,7.38,9.85,0.55,11.0014,0,7,7
spring,2011,1,4,0,6,0,rain,7.38,9.85,0.55,11.0014,0,1,1
spring,2011,1,5,0,6,0,misty,6.5600000000000005,8.334999999999999,0.74,11.0014,0,5,5
spring,2011,1,6,0,6,0,misty,6.5600000000000005,8.334999999999999,0.74,11.0014,0,2,2
